year,make,model,trim,body,seats,msrp,fuel
2020,Acura,TLX,SH-AWD,Sedan,5,38200,premium unleaded (recommended)
2020,Acura,TLX,A-Spec,Sedan,5,42800,premium unleaded (recommended)
2020,Acura,TLX,A-Spec,Sedan,5,42800,premium unleaded (recommended)
2020,Acura,TLX,Base,Sedan,5,33000,premium unleaded (recommended)
2020,Acura,TLX,Base,Sedan,5,36200,premium unleaded (recommended)
2020,Acura,TLX,Base,Sedan,5,36700,premium unleaded (recommended)
2020,Acura,TLX,A-Spec,Sedan,5,39400,premium unleaded (recommended)
2020,Acura,TLX,A-Spec,Sedan,5,39400,premium unleaded (recommended)
2020,Acura,TLX,Base,Sedan,5,40100,premium unleaded (recommended)
2020,Alfa Romeo,4C,Spider,Coupe,2,67150,premium unleaded (required)
2020,Alfa Romeo,Giulia,Quadrifoglio,Sedan,5,74500,premium unleaded (required)
2020,Alfa Romeo,Giulia,Base,Sedan,5,41400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Sport,Sedan,5,40850,premium unleaded (required)
2020,Alfa Romeo,Giulia,Base,Sedan,5,39400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Sport,Sedan,5,42850,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti,Sedan,5,41400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti,Sedan,5,43400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Lusso,Sedan,5,43900,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Lusso,Sedan,5,45900,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Sport,Sedan,5,44400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Sport,Sedan,5,46400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Sport Carbon,Sedan,5,48400,premium unleaded (required)
2020,Alfa Romeo,Giulia,Ti Sport Carbon,Sedan,5,50400,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Ti,SUV,5,45800,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Sport,SUV,5,44850,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Sport,SUV,5,42850,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Quadrifoglio,SUV,5,80500,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Base,SUV,5,43400,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Ti Lusso,SUV,5,48300,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Ti Sport,SUV,5,48300,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Ti Sport Carbon,SUV,5,52300,premium unleaded (required)
2020,Alfa Romeo,Stelvio,Base,SUV,5,41400,premium unleaded (required)
2020,Aston Martin,DB11,AMR,Coupe,4,245900,premium unleaded (required)
2020,Aston Martin,DB11,V8,Coupe,4,205600,premium unleaded (required)
2020,Aston Martin,DB11,V8 Volante,Convertible,4,220900,premium unleaded (required)
2020,Aston Martin,DBS,Volante,Convertible,4,329100,premium unleaded (required)
2020,Aston Martin,DBS,Base,Coupe,4,311100,premium unleaded (required)
2020,Aston Martin,Vantage,AMR Hero,Coupe,2,179995,premium unleaded (recommended)
2020,Aston Martin,Vantage,AMR 59 Edition,Coupe,2,204995,premium unleaded (recommended)
2020,Aston Martin,Vantage,Base,Coupe,2,152995,premium unleaded (recommended)
2020,Audi,A3,Sport Premium,Sedan,5,33300,regular unleaded
2020,Audi,A3,Sport Premium Plus,Sedan,5,36300,regular unleaded
2020,Audi,A3 Quattro,Premium Plus S line,Sedan,5,39500,regular unleaded
2020,Audi,A3 Quattro,Premium S line,Sedan,5,36500,regular unleaded
2020,Audi,A4,Prestige,Sedan,5,46950,premium unleaded (required)
2020,Audi,A4,Premium,Sedan,5,37400,premium unleaded (required)
2020,Audi,A4,Premium Plus,Sedan,5,41000,premium unleaded (required)
2020,Audi,A4 allroad,Prestige,Wagon,5,53650,premium unleaded (recommended)
2020,Audi,A4 allroad,Premium Plus,Wagon,5,47700,premium unleaded (recommended)
2020,Audi,A4 allroad,Premium,Wagon,5,44600,premium unleaded (recommended)
2020,Audi,A4 Quattro,Premium Plus,Sedan,5,44000,premium unleaded (required)
2020,Audi,A4 Quattro,Premium,Sedan,5,40900,premium unleaded (required)
2020,Audi,A4 Quattro,Prestige,Sedan,5,49950,premium unleaded (required)
2020,Audi,A5 Quattro,Premium Plus,Coupe,4,46700,premium unleaded (recommended)
2020,Audi,A5 Quattro,Premium,Coupe,4,42900,premium unleaded (recommended)
2020,Audi,A5 Quattro,Premium,Convertible,4,49900,premium unleaded (recommended)
2020,Audi,A5 Quattro,Prestige,Coupe,4,52600,premium unleaded (recommended)
2020,Audi,A5 Quattro,Prestige,Convertible,4,59600,premium unleaded (recommended)
2020,Audi,A5 Quattro,Premium Plus,Convertible,4,53700,premium unleaded (recommended)
2020,Audi,A5 Sportback,Prestige,Hatchback,5,52600,premium unleaded (recommended)
2020,Audi,A5 Sportback,Premium,Hatchback,5,42900,premium unleaded (recommended)
2020,Audi,A5 Sportback,Premium Plus,Hatchback,5,46700,premium unleaded (recommended)
2020,Audi,A6 allroad,Premium Plus,Wagon,5,65900,premium unleaded (required)
2020,Audi,A6 allroad,Prestige,Wagon,5,70400,premium unleaded (required)
2020,Audi,A6 Quattro,Premium,Sedan,5,54900,premium unleaded (required)
2020,Audi,A6 Quattro,Prestige,Sedan,5,64800,premium unleaded (required)
2020,Audi,A6 Quattro,Premium Plus,Sedan,5,63500,premium unleaded (required)
2020,Audi,A6 Quattro,Premium,Sedan,5,59800,premium unleaded (required)
2020,Audi,A6 Quattro,Premium Plus,Sedan,5,58600,premium unleaded (required)
2020,Audi,A6 Quattro,Prestige,Sedan,5,69700,premium unleaded (required)
2020,Audi,A7 Sportback,Prestige,Sedan,5,79700,premium unleaded (required)
2020,Audi,A7 Sportback,Premium,Sedan,5,69000,premium unleaded (required)
2020,Audi,A7 Sportback,Premium Plus,Sedan,5,73600,premium unleaded (required)
2020,Audi,A8 Quattro,L,Sedan,5,96800,premium unleaded (required)
2020,Audi,A8 Quattro,L,Sedan,5,85200,premium unleaded (required)
2020,Audi,A8 Quattro,L,Sedan,5,94000,premium unleaded (required)
2020,Audi,e-tron Sportback,Prestige,SUV,5,83400,electric
2020,Audi,e-tron Sportback,Premium Plus,SUV,5,77400,electric
2020,Audi,Q3,Prestige S line,SUV,5,42900,premium unleaded (recommended)
2020,Audi,Q3,Premium,SUV,5,34700,premium unleaded (recommended)
2020,Audi,Q3,Premium Plus,SUV,5,37800,premium unleaded (recommended)
2020,Audi,Q3,Premium S line,SUV,5,36000,premium unleaded (recommended)
2020,Audi,Q3,Premium Plus S line,SUV,5,39100,premium unleaded (recommended)
2020,Audi,Q5,Prestige,SUV,5,53700,premium unleaded (recommended)
2020,Audi,Q5,Premium,SUV,5,43300,premium unleaded (recommended)
2020,Audi,Q5,Prestige Titanium,SUV,5,55800,premium unleaded (recommended)
2020,Audi,Q5,Premium Plus,SUV,5,49950,premium unleaded (recommended)
2020,Audi,Q5,Premium Titanium,SUV,5,48000,premium unleaded (recommended)
2020,Audi,Q5,Premium Plus Titanium,SUV,5,51350,premium unleaded (recommended)
2020,Audi,Q5 PHEV,Premium Plus,SUV,5,56600,premium unleaded (recommended)
2020,Audi,Q5 PHEV,Premium,SUV,5,52900,premium unleaded (recommended)
2020,Audi,Q5 PHEV,Prestige,SUV,5,60350,premium unleaded (recommended)
2020,Audi,Q7,Premium,SUV,7,60800,premium unleaded (recommended)
2020,Audi,Q7,Premium Plus,SUV,7,63800,premium unleaded (recommended)
2020,Audi,Q7,Premium,SUV,7,54800,premium unleaded (recommended)
2020,Audi,Q7,Premium Plus,SUV,7,57200,premium unleaded (recommended)
2020,Audi,Q7,Prestige,SUV,7,71200,premium unleaded (recommended)
2020,Audi,Q8,Premium,SUV,5,68200,premium unleaded (required)
2020,Audi,Q8,Premium Plus,SUV,5,72200,premium unleaded (required)
2020,Audi,Q8,Prestige,SUV,5,77700,premium unleaded (required)
2020,Audi,R8,Spyder,Convertible,2,182100,premium unleaded (required)
2020,Audi,R8,performance Spyder,Convertible,2,208100,premium unleaded (required)
2020,Audi,R8,performance,Coupe,2,195900,premium unleaded (required)
2020,Audi,R8,Base,Coupe,2,169900,premium unleaded (required)
2020,Audi,RS Q8,Base,SUV,5,113000,premium unleaded (required)
2020,Audi,RS3,Base,Sedan,5,56200,premium unleaded (required)
2020,Audi,S3,Premium Plus,Sedan,5,45600,premium unleaded (required)
2020,Audi,S3,Premium,Sedan,5,43000,premium unleaded (required)
2020,Audi,S4,Premium,Sedan,5,49900,premium unleaded (recommended)
2020,Audi,S4,Prestige,Sedan,5,58350,premium unleaded (recommended)
2020,Audi,S4,Premium Plus,Sedan,5,52400,premium unleaded (recommended)
2020,Audi,S5,Prestige,Coupe,4,60300,premium unleaded (recommended)
2020,Audi,S5,Prestige,Convertible,4,68600,premium unleaded (recommended)
2020,Audi,S5,Premium Plus,Convertible,4,62700,premium unleaded (recommended)
2020,Audi,S5,Premium Plus,Coupe,4,54400,premium unleaded (recommended)
2020,Audi,S5,Premium,Convertible,4,60200,premium unleaded (recommended)
2020,Audi,S5,Premium,Coupe,4,51900,premium unleaded (recommended)
2020,Audi,S5 Sportback,Prestige,Hatchback,5,60300,premium unleaded (recommended)
2020,Audi,S5 Sportback,Premium,Hatchback,5,51900,premium unleaded (recommended)
2020,Audi,S5 Sportback,Premium Plus,Hatchback,5,54400,premium unleaded (recommended)
2020,Audi,S6,Prestige,Sedan,5,79600,premium unleaded (required)
2020,Audi,S6,Premium Plus,Sedan,5,73900,premium unleaded (required)
2020,Audi,S7 Sportback,Premium Plus,Sedan,5,83900,premium unleaded (required)
2020,Audi,S7 Sportback,Prestige,Sedan,5,89500,premium unleaded (required)
2020,Audi,S8,Base,Sedan,5,129500,premium unleaded (required)
2020,Audi,SQ5,Premium,SUV,5,52900,premium unleaded (required)
2020,Audi,SQ5,Prestige,SUV,5,62150,premium unleaded (required)
2020,Audi,SQ5,Premium Plus,SUV,5,58400,premium unleaded (required)
2020,Audi,SQ7,Prestige,SUV,7,90400,premium unleaded (required)
2020,Audi,SQ7,Premium Plus,SUV,7,84800,premium unleaded (required)
2020,Audi,SQ8,Prestige,SUV,5,94500,premium unleaded (required)
2020,Audi,SQ8,Premium Plus,SUV,5,89000,premium unleaded (required)
2020,Audi,TT Quattro,Base,Coupe,4,45500,premium unleaded (required)
2020,Audi,TT Quattro,Base,Convertible,2,49000,premium unleaded (required)
2020,Audi,TT RS Quattro,Base,Coupe,4,67600,premium unleaded (required)
2020,Audi,TTS Quattro,Base,Coupe,4,54500,premium unleaded (required)
2020,Bentley,Bentayga,V8,SUV,5,165000,premium unleaded (required)
2020,Bentley,Bentayga,Speed,SUV,5,235700,premium unleaded (required)
2020,Bentley,Bentayga,Hybrid,SUV,5,156900,premium unleaded (required)
2020,Bentley,Continental,GT V8,Coupe,4,202500,premium unleaded (required)
2020,Bentley,Continental,GT V8,Convertible,4,222700,premium unleaded (required)
2020,Bentley,Continental,GT,Convertible,4,240800,premium unleaded (required)
2020,Bentley,Continental,GT,Coupe,4,218900,premium unleaded (required)
2020,Bentley,Flying Spur,W12,Sedan,5,214600,premium unleaded (required)
2020,Bentley,Mulsanne,Base,Sedan,5,304670,premium unleaded (required)
2020,Bentley,Mulsanne,Speed,Sedan,5,335600,premium unleaded (required)
2020,BMW,228i xDrive Gran Coupe,228i xDrive,Sedan,5,37500,premium unleaded (required)
2020,BMW,230i,230i,Coupe,4,35300,premium unleaded (recommended)
2020,BMW,230i,230i,Convertible,4,41100,premium unleaded (recommended)
2020,BMW,230i xDrive,230i xDrive,Coupe,4,37300,premium unleaded (recommended)
2020,BMW,230i xDrive,230i xDrive,Convertible,4,43100,premium unleaded (recommended)
2020,BMW,330i,330i,Sedan,5,40750,premium unleaded (recommended)
2020,BMW,330i xDrive,330i xDrive,Sedan,5,42750,premium unleaded (recommended)
2020,BMW,430i,430i,Coupe,4,44950,premium unleaded (recommended)
2020,BMW,430i,430i,Convertible,4,53100,premium unleaded (recommended)
2020,BMW,430i Gran Coupe,430i,Sedan,5,44750,premium unleaded (recommended)
2020,BMW,430i xDrive,430i xDrive,Coupe,4,46950,premium unleaded (recommended)
2020,BMW,430i xDrive,430i xDrive,Convertible,4,55100,premium unleaded (recommended)
2020,BMW,430i xDrive Gran Coupe,430i xDrive,Sedan,5,46750,premium unleaded (recommended)
2020,BMW,440i,440i,Coupe,4,51350,premium unleaded (recommended)
2020,BMW,440i,440i,Convertible,4,60150,premium unleaded (recommended)
2020,BMW,440i Gran Coupe,440i,Sedan,5,51150,premium unleaded (recommended)
2020,BMW,440i xDrive,440i xDrive,Coupe,4,53350,premium unleaded (recommended)
2020,BMW,440i xDrive,440i xDrive,Convertible,4,62150,premium unleaded (recommended)
2020,BMW,440i xDrive Gran Coupe,440i xDrive,Sedan,5,53150,premium unleaded (recommended)
2020,BMW,530e,530e,Sedan,5,53900,premium unleaded (recommended)
2020,BMW,530e xDrive,530e xDrive,Sedan,5,56200,premium unleaded (recommended)
2020,BMW,530i,530i,Sedan,5,53900,premium unleaded (recommended)
2020,BMW,530i xDrive,530i xDrive,Sedan,5,56200,premium unleaded (recommended)
2020,BMW,540i,540i,Sedan,5,59450,premium unleaded (recommended)
2020,BMW,540i xDrive,540i xDrive,Sedan,5,61750,premium unleaded (recommended)
2020,BMW,740i,740i,Sedan,5,86450,premium unleaded (required)
2020,BMW,740i xDrive,740i xDrive,Sedan,5,89450,premium unleaded (required)
2020,BMW,745e xDrive,745e xDrive iPerformance,Sedan,5,95550,premium unleaded (required)
2020,BMW,750i xDrive,750i xDrive,Sedan,5,102650,premium unleaded (required)
2020,BMW,840i,840i,Coupe,4,87900,premium unleaded (recommended)
2020,BMW,840i,840i,Convertible,4,97400,premium unleaded (recommended)
2020,BMW,840i Gran Coupe,840i,Sedan,5,84900,premium unleaded (recommended)
2020,BMW,840i xDrive,840i xDrive,Coupe,4,90800,premium unleaded (recommended)
2020,BMW,840i xDrive,840i xDrive,Convertible,4,100300,premium unleaded (recommended)
2020,BMW,840i xDrive Gran Coupe,840i xDrive,Sedan,5,87800,premium unleaded (recommended)
2020,BMW,Alpina B7,xDrive,Sedan,5,142800,premium unleaded (required)
2020,BMW,i3,Base,Hatchback,4,44450,electric
2020,BMW,i3,Base,Hatchback,4,48300,electric
2020,BMW,i3s,s,Hatchback,4,51500,electric
2020,BMW,i3s,s,Hatchback,4,47650,electric
2020,BMW,i8,Base,Coupe,4,147500,premium unleaded (required)
2020,BMW,i8,Base,Convertible,2,163300,premium unleaded (required)
2020,BMW,M2,M2 CS,Coupe,4,83600,premium unleaded (required)
2020,BMW,M2,M2 Competition,Coupe,4,58900,premium unleaded (required)
2020,BMW,M235i xDrive Gran Coupe,M235i xDrive,Sedan,5,45500,premium unleaded (required)
2020,BMW,M240i,M240i,Coupe,4,45800,premium unleaded (recommended)
2020,BMW,M240i,M240i,Convertible,4,50400,premium unleaded (recommended)
2020,BMW,M240i xDrive,M240i xDrive,Coupe,4,47800,premium unleaded (recommended)
2020,BMW,M240i xDrive,M240i xDrive,Convertible,4,52400,premium unleaded (recommended)
2020,BMW,M340i,M340i,Sedan,5,54000,premium unleaded (recommended)
2020,BMW,M340i xDrive,M340i xDrive,Sedan,5,56000,premium unleaded (recommended)
2020,BMW,M4,M4,Coupe,4,69150,premium unleaded (required)
2020,BMW,M4,M4,Convertible,4,77650,premium unleaded (required)
2020,BMW,M4,M4,Coupe,4,103100,premium unleaded (required)
2020,BMW,M5,M5 Competition,Sedan,5,110000,premium unleaded (required)
2020,BMW,M5,M5,Sedan,5,102700,premium unleaded (required)
2020,BMW,M550i xDrive,M550i xDrive,Sedan,5,76650,premium unleaded (required)
2020,BMW,M760i xDrive,M760i xDrive,Sedan,5,157700,premium unleaded (required)
2020,BMW,M8,M8 Competition,Convertible,4,155500,premium unleaded (required)
2020,BMW,M8,M8 Competition,Coupe,4,146000,premium unleaded (required)
2020,BMW,M8,M8,Convertible,4,142500,premium unleaded (required)
2020,BMW,M8,M8,Coupe,4,133000,premium unleaded (required)
2020,BMW,M8 Gran Coupe,M8 Competition,Sedan,5,143000,premium unleaded (required)
2020,BMW,M8 Gran Coupe,M8,Sedan,5,130000,premium unleaded (required)
2020,BMW,M850i xDrive,M850i xDrive,Coupe,4,111900,premium unleaded (required)
2020,BMW,M850i xDrive,M850i xDrive,Convertible,4,121400,premium unleaded (required)
2020,BMW,M850i xDrive Gran Coupe,M850i xDrive,Sedan,5,108900,premium unleaded (required)
2020,BMW,X1,xDrive28i,SUV,5,37200,premium unleaded (recommended)
2020,BMW,X1,sDrive28i,SUV,5,35200,premium unleaded (recommended)
2020,BMW,X2,xDrive28i,SUV,5,38400,premium unleaded (recommended)
2020,BMW,X2,sDrive28i,SUV,5,36400,premium unleaded (recommended)
2020,BMW,X2,M35i,SUV,5,46450,premium unleaded (recommended)
2020,BMW,X3,xDrive30i,SUV,5,43950,premium unleaded (recommended)
2020,BMW,X3,sDrive30i,SUV,5,41950,premium unleaded (recommended)
2020,BMW,X3,M40i,SUV,5,55900,premium unleaded (recommended)
2020,BMW,X3,M Competition,SUV,5,76900,premium unleaded (required)
2020,BMW,X3,M,SUV,5,69900,premium unleaded (required)
2020,BMW,X3,xDrive30e,SUV,5,48550,premium unleaded (recommended)
2020,BMW,X4,M Competition,SUV,5,80400,premium unleaded (required)
2020,BMW,X4,M40i,SUV,5,61000,premium unleaded (recommended)
2020,BMW,X4,xDrive30i,SUV,5,51100,premium unleaded (recommended)
2020,BMW,X4,M,SUV,5,73400,premium unleaded (required)
2020,BMW,X5,M,SUV,5,105100,premium unleaded (required)
2020,BMW,X5,M Competition,SUV,5,114100,premium unleaded (required)
2020,BMW,X5,M50i,SUV,5,82150,premium unleaded (required)
2020,BMW,X5,sDrive40i,SUV,5,58900,premium unleaded (required)
2020,BMW,X5,xDrive50i,SUV,5,76150,premium unleaded (required)
2020,BMW,X5,xDrive40i,SUV,5,61200,premium unleaded (required)
2020,BMW,X6,M50i,SUV,5,85650,premium unleaded (recommended)
2020,BMW,X6,sDrive40i,SUV,5,64300,premium unleaded (recommended)
2020,BMW,X6,xDrive40i,SUV,5,66600,premium unleaded (recommended)
2020,BMW,X6,M Competition,SUV,5,117600,premium unleaded (required)
2020,BMW,X6,M,SUV,5,108600,premium unleaded (required)
2020,BMW,X7,xDrive50i,SUV,7,92600,premium unleaded (recommended)
2020,BMW,X7,xDrive40i,SUV,7,73900,premium unleaded (recommended)
2020,BMW,X7,M50i,SUV,7,99600,premium unleaded (recommended)
2020,BMW,Z4,sDrive M40i,Convertible,2,63700,premium unleaded (recommended)
2020,BMW,Z4,sDrive30i,Convertible,2,49700,premium unleaded (recommended)
2020,Bugatti,Chiron,Base,,,0,
2020,Buick,Enclave,Premium,SUV,7,50700,regular unleaded
2020,Buick,Enclave,Premium,SUV,7,48400,regular unleaded
2020,Buick,Enclave,Preferred,SUV,7,40000,regular unleaded
2020,Buick,Enclave,Avenir,SUV,7,53800,regular unleaded
2020,Buick,Enclave,Avenir,SUV,7,56100,regular unleaded
2020,Buick,Enclave,Essence,SUV,7,42000,regular unleaded
2020,Buick,Enclave,Essence,SUV,7,44000,regular unleaded
2020,Buick,Encore,Sport Touring,SUV,5,27300,regular unleaded
2020,Buick,Encore,Essence,SUV,5,29300,regular unleaded
2020,Buick,Encore,1SV,SUV,5,23200,regular unleaded
2020,Buick,Encore,Essence,SUV,5,30800,regular unleaded
2020,Buick,Encore,Preferred,SUV,5,24600,regular unleaded
2020,Buick,Encore,Preferred,SUV,5,26100,regular unleaded
2020,Buick,Encore,Sport Touring,SUV,5,25800,regular unleaded
2020,Buick,Encore GX,Preferred,SUV,5,26100,regular unleaded
2020,Buick,Encore GX,Select,SUV,5,27700,regular unleaded
2020,Buick,Encore GX,Preferred,SUV,5,24100,regular unleaded
2020,Buick,Encore GX,Essence,SUV,5,30500,regular unleaded
2020,Buick,Encore GX,Essence,SUV,5,28500,regular unleaded
2020,Buick,Encore GX,Select,SUV,5,25700,regular unleaded
2020,Buick,Envision,Preferred,SUV,5,35250,regular unleaded
2020,Buick,Envision,Preferred,SUV,5,33500,regular unleaded
2020,Buick,Envision,Essence,SUV,5,37550,regular unleaded
2020,Buick,Envision,Essence,SUV,5,35800,regular unleaded
2020,Buick,Envision,Premium,SUV,5,40700,premium unleaded (recommended)
2020,Buick,Envision,Premium II,SUV,5,43600,premium unleaded (recommended)
2020,Buick,Envision,1SV,SUV,5,31995,regular unleaded
2020,Buick,Regal Sportback,Essence,Hatchback,5,33870,premium unleaded (recommended)
2020,Buick,Regal Sportback,GS,Hatchback,5,39070,regular unleaded
2020,Buick,Regal Sportback,Essence,Hatchback,5,31770,premium unleaded (recommended)
2020,Buick,Regal Sportback,1SV,Hatchback,5,25370,premium unleaded (recommended)
2020,Buick,Regal Sportback,Avenir,Hatchback,5,35770,premium unleaded (recommended)
2020,Buick,Regal Sportback,Preferred,Hatchback,5,27970,premium unleaded (recommended)
2020,Buick,Regal TourX,Base,Wagon,5,29370,premium unleaded (recommended)
2020,Buick,Regal TourX,Essence,Wagon,5,35070,premium unleaded (recommended)
2020,Buick,Regal TourX,Preferred,Wagon,5,32970,premium unleaded (recommended)
2020,Cadillac,CT4,Luxury,Sedan,5,32995,premium unleaded (recommended)
2020,Cadillac,CT4,Premium Luxury,Sedan,5,37495,premium unleaded (recommended)
2020,Cadillac,CT4,Sport,Sedan,5,38595,premium unleaded (recommended)
2020,Cadillac,CT4,V,Sedan,5,44495,premium unleaded (recommended)
2020,Cadillac,CT5,Luxury,Sedan,5,36895,premium unleaded (recommended)
2020,Cadillac,CT5,V,Sedan,5,47695,premium unleaded (recommended)
2020,Cadillac,CT5,Sport,Sedan,5,41695,premium unleaded (recommended)
2020,Cadillac,CT5,Premium Luxury,Sedan,5,40695,premium unleaded (recommended)
2020,Cadillac,CT6,Base,Sedan,5,94895,premium unleaded (required)
2020,Cadillac,CT6,Premium Luxury,Sedan,5,74495,regular unleaded
2020,Cadillac,CT6,Platinum,Sedan,5,96495,premium unleaded (required)
2020,Cadillac,CT6,Luxury,Sedan,5,58995,regular unleaded
2020,Cadillac,Escalade,Platinum,SUV,7,95295,premium unleaded (recommended)
2020,Cadillac,Escalade,Base,SUV,7,75195,premium unleaded (recommended)
2020,Cadillac,Escalade,Premium Luxury,SUV,7,85195,premium unleaded (recommended)
2020,Cadillac,Escalade,Base,SUV,7,78195,premium unleaded (recommended)
2020,Cadillac,Escalade,Platinum,SUV,7,92295,premium unleaded (recommended)
2020,Cadillac,Escalade,Luxury,SUV,7,83795,premium unleaded (recommended)
2020,Cadillac,Escalade,Luxury,SUV,7,80795,premium unleaded (recommended)
2020,Cadillac,Escalade,Premium Luxury,SUV,7,88195,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Premium Luxury,SUV,7,91195,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Platinum,SUV,7,95295,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Luxury,SUV,7,86795,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Luxury,SUV,7,83795,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Base,SUV,7,81195,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Premium Luxury,SUV,7,88195,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Base,SUV,7,78195,premium unleaded (recommended)
2020,Cadillac,Escalade ESV,Platinum,SUV,7,98295,premium unleaded (recommended)
2020,Cadillac,XT4,Sport,SUV,5,42295,premium unleaded (recommended)
2020,Cadillac,XT4,Sport,SUV,5,39795,premium unleaded (recommended)
2020,Cadillac,XT4,Premium Luxury,SUV,5,42295,premium unleaded (recommended)
2020,Cadillac,XT4,Premium Luxury,SUV,5,39795,premium unleaded (recommended)
2020,Cadillac,XT4,Luxury,SUV,5,38195,premium unleaded (recommended)
2020,Cadillac,XT4,Luxury,SUV,5,35695,premium unleaded (recommended)
2020,Cadillac,XT5,Premium Luxury,SUV,5,48795,premium unleaded (recommended)
2020,Cadillac,XT5,Sport,SUV,5,55095,regular unleaded
2020,Cadillac,XT5,Premium Luxury,SUV,5,50795,premium unleaded (recommended)
2020,Cadillac,XT5,Luxury,SUV,5,44095,premium unleaded (recommended)
2020,Cadillac,XT5,Luxury,SUV,5,46195,premium unleaded (recommended)
2020,Cadillac,XT6,Premium Luxury,SUV,7,52695,regular unleaded
2020,Cadillac,XT6,Premium Luxury,SUV,7,54695,regular unleaded
2020,Cadillac,XT6,Sport,SUV,7,57095,regular unleaded
2020,Chevrolet,Blazer,L,SUV,5,28800,flex-fuel (unleaded/E85)
2020,Chevrolet,Blazer,RS,SUV,5,40600,regular unleaded
2020,Chevrolet,Blazer,RS,SUV,5,43500,regular unleaded
2020,Chevrolet,Blazer,Premier,SUV,5,45600,regular unleaded
2020,Chevrolet,Blazer,Premier,SUV,5,42700,regular unleaded
2020,Chevrolet,Blazer,3LT,SUV,5,39000,premium unleaded (recommended)
